tract,state,county,avg_lat,avg_long,primary_ruca,perc_insured,total_pop,pop_density,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hawaii_pacific_race,other_race,multiple_races,hispanic_latino,ed_less_than_hs,ed_hs_grad,ed_college_plus,median_income,below_poverty,prov_count,prov_density
37019020303,NC,Brunswick County,,,5,93.3,3277,148.280542986425,2.21,8.6,59.1,48.7,87.9,8.5,0.3,0.0,3.2,0.0,0.0,1.7,6.9,20.8,72.3,25045.0,16.6,0,0
37019020304,NC,Brunswick County,33.955788,-78.11439,4,95.6,6487,484.10447761194,2.08,4.1,65.5,48.5,97.5,1.2,0.0,0.5,0.0,0.8,0.0,2.0,6.1,17.1,76.8,32281.0,5.1,1,0.154154462771697
37019020305,NC,Brunswick County,33.9459304,-78.0537196,4,87.3,3040,690.909090909091,2.17,9.2,49.7,43.4,86.2,10.9,0.0,0.0,0.0,1.3,1.7,4.6,3.3,26.6,70.2,29019.0,16.2,1,0.328947368421053
37019020306,NC,Brunswick County,,,4,91.5,2320,223.076923076923,2.46,0.9,49.8,46.5,94.8,1.7,0.6,0.0,0.0,0.0,2.8,0.4,12.0,23.7,64.3,30634.0,13.2,0,0
37019020307,NC,Brunswick County,,,10,99.3,284,29.2783505154639,1.76,0.0,66.3,49.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,1.8,98.3,42300.0,1.4,0,0
37019020308,NC,Brunswick County,,,4,85.5,1617,735.0,1.98,7.3,58.9,47.3,98.6,0.0,0.3,0.0,0.0,0.4,0.7,0.4,3.5,27.7,68.8,32563.0,6.8,0,0
37019020309,NC,Brunswick County,,,4,87.9,2912,1266.08695652174,2.04,10.8,55.4,49.3,98.7,0.6,0.0,0.0,0.0,0.4,0.3,2.3,8.5,23.0,68.5,25307.0,8.6,0,0
37019020310,NC,Brunswick County,,,4,87.4,2390,391.803278688525,2.15,4.6,57.5,49.3,96.4,0.0,0.0,1.5,0.0,1.8,0.3,2.4,9.3,17.5,73.2,25617.0,9.1,0,0
37019020402,NC,Brunswick County,,,7,85.8,3265,480.147058823529,2.34,6.6,57.4,50.8,94.4,1.8,0.0,0.4,0.0,1.2,2.1,1.3,13.7,23.2,63.0,26190.0,20.0,0,0
37019020403,NC,Brunswick County,33.97706,-78.379845,7,71.6,4784,402.016806722689,2.34,13.6,48.4,50.8,86.8,4.0,0.4,0.0,0.4,6.2,2.2,6.2,20.3,34.1,45.6,17628.0,21.7,1,0.209030100334448
37019020404,NC,Brunswick County,33.98002,-78.370384,3,86.2,2962,207.132867132867,2.22,12.7,47.4,50.3,82.3,11.9,2.5,0.0,0.0,0.0,3.3,1.2,18.3,37.8,44.1,20921.0,22.4,1,0.337609723160027
37019020405,NC,Brunswick County,,,10,89.1,2813,244.608695652174,2.32,5.8,52.2,46.4,86.4,11.8,0.8,0.1,0.0,0.0,0.9,1.2,15.4,32.6,51.9,19597.0,22.5,0,0
