county,perc_insured,avg_household_size,unemployment_rate,median_age,male,white_race,black_race,native_race,asian_race,hispanic_latino,poor_english,ed_hs_plus,ed_college_plus,median_income,below_poverty,lat,lon,prov_density
48343,83.3,2.49,12.9,42.9,48,69.4,24.2,0.1,0.1,8.8,3.1,86.9,49,22097,18.6,33.116466,-94.731265,0.07903264
48345,75,2.15,10,48.9,52.9,95.7,0.3,0,0,11.2,1.5,88.4,53.6,20383,15.5,34.057899,-100.793152,0
48347,78.9,2.51,8.8,30.4,47.7,75.9,18.1,0.4,1.9,18.7,7.7,81.3,53.2,20331,24.4,31.62056,-94.62025,0.183049606
48349,79.3,2.72,10.4,38.1,49.2,76.4,13.6,1.9,0.6,25.6,11.5,76.7,46.5,22239,19.9,32.048448,-96.476909,0.062270378
48351,82.2,3.02,14.2,40.7,50.1,76.9,21.1,0.3,0.4,3.4,0.5,86.7,36.8,17694,16.2,30.786718,-93.73925,0
48353,82.2,2.6,6.3,38,50.6,87.9,5.5,0.6,0.4,35.8,5.5,80.1,46.4,22137,17.6,32.312338,-100.418108,0.133182393
48355,81.7,2.72,6.1,34.9,49.2,87.4,3.9,0.5,1.9,62.6,8.9,81.3,52.9,24887,17,27.738737,-97.51866,0.343017485
48357,76.2,2.93,4.8,31.2,51,86.8,0.2,1.6,0.2,52.2,17.9,75.9,45.8,25054,12.6,36.278744,-100.815864,0
48359,87.7,2.59,5.5,33.2,52.3,88.6,5.8,0.1,0.1,16.2,2.1,84.9,59.5,23144,13.2,35.401921,-102.59762,0
48361,84.4,2.57,7.5,37.9,49.5,87.9,8.1,0.4,1.1,6.8,1.5,89.1,49.8,26617,15.2,30.122323,-93.8941,0.035820468
48363,78.2,2.65,6.7,41.5,49.3,91.5,2.3,1.2,0.5,19.6,6.7,82.6,47.2,21748,17.9,32.752204,-98.317967,0
48365,82.3,2.62,4.7,38.3,49.2,80.6,16.8,0.1,0.5,8.5,2.9,84.3,52.1,23829,14.6,32.163978,-94.305156,0
48367,84.7,2.8,5.6,39.7,49.8,93.3,1.5,0.9,0.6,11.2,3.2,89.3,61.8,31482,9.4,32.777096,-97.805905,0.113267692
48369,78.3,3.06,3,33.5,51.4,84.8,1.5,0.9,0.2,61.8,22,68.6,37.6,24455,16.8,34.532163,-102.784853,0
48371,81.4,3.17,4,35.4,57.3,81.8,4.4,0.6,0.2,68.2,14.2,68.7,34.3,23628,9.7,30.770894,-102.71986,0
48373,80.6,2.39,9.4,43.4,53.7,84.3,10.6,1.4,0.6,14.3,4.8,80.5,42,22342,18.2,30.784553,-94.837338,0.021467059
48375,77.3,2.66,4.6,33.3,51.4,78.3,9.5,0.4,5,37.2,13.4,76.4,47.5,22521,21.9,35.398675,-101.893804,0.46766161
48377,64.1,2.78,9.2,40.8,49.1,92.8,0,1.4,3.4,81.8,40.3,56.7,38,17115,24.5,30.005891,-104.261619,0
48379,81.1,2.59,6.6,47.8,51,90.1,2.4,0.9,0.3,8.4,2.6,81.8,40.8,22715,10.7,32.87058,-95.79544,0.180391449
48381,87.4,2.58,3.5,35.5,49.1,90.5,2.8,0.6,1.6,19.4,3.4,91.1,68.9,31678,10.5,34.962529,-101.895547,0.108862157
48383,69.2,3.02,4.3,34.9,53.3,49.9,1.8,0,0,66,20.2,71.6,35.9,29719,17.5,31.375191,-101.514395,0
48385,73.9,2.71,6.7,55.5,48.1,98.8,0.1,0,0,19.7,4.5,80.4,54.2,20373,18.4,29.830097,-99.812549,0
48387,81.7,2.37,6.9,45.8,47.5,79.2,17.4,0.5,0,7.2,0.8,80.4,41.6,20192,16.5,33.619625,-95.048429,0
48389,80.5,3.08,7.7,35.2,60.1,78.3,4.6,0.8,1.1,74.8,26,61,34.6,16507,14.7,31.308366,-103.712706,0
48391,83.3,2.59,7.5,42.8,49.2,81.2,5,0.2,0.1,49.3,7.4,79.8,43.2,24397,15.8,28.312716,-97.161366,0
48393,87.4,2.75,2.5,35.6,48.7,98.4,0,0,0.4,2.9,0,93.9,64.8,32228,1.8,35.836216,-100.807555,0
48395,80.9,2.57,7.9,41.2,49.7,75.7,20,0.6,0.3,19.8,6.4,82.5,47.2,24557,15.1,31.025481,-96.514941,0.06047046
48397,88.3,2.97,5.4,37.2,49,86.5,5.5,0.2,2.4,16.7,5.2,91.9,69.7,38430,6.2,32.898677,-96.404402,0.272696285
