tract,State,County,Latitude,Longitude,RUCA Urbanicity,% Insured,Population,Population Density,Avg Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-race,% Hispanic/Latino,% Ed. < HS,% Ed. HS Grad.,% Ed. College Grad.,Median Income,% Poverty,MH Provider Count,MH Provider per 1000 Pop.
21113060200,KY,Jessamine County,,,2,90.0,4077,132.801302931596,2.59,9.1,44.1,52.0,95.6,1.5,0.2,0.7,0.0,0.6,1.4,3.7,16.1,33.1,50.7,25920.0,12.4,0,0
21113060300,KY,Jessamine County,,,5,91.8,2352,49.7251585623679,2.6,5.3,44.1,51.9,96.5,0.7,0.3,0.0,0.0,0.0,2.6,1.4,21.9,32.2,45.9,26034.0,13.2,0,0
21113060400,KY,Jessamine County,37.8572868875,-84.6554706925,2,95.2,8198,297.028985507246,2.6,6.0,30.6,48.4,89.9,1.4,0.7,4.8,0.3,0.2,2.8,1.7,8.9,19.6,71.5,17978.0,19.8,4,0.487923883874116
21113060502,KY,Jessamine County,,,2,80.8,6424,1366.8085106383,2.76,9.8,32.7,47.9,88.3,4.3,0.0,0.2,0.0,3.3,3.8,4.7,21.7,35.4,42.9,25990.0,19.7,0,0
21113060503,KY,Jessamine County,37.86655198,-84.5811883766667,2,87.6,4761,3967.5,2.43,8.5,40.3,44.7,84.1,10.0,1.0,0.2,0.0,3.0,1.6,5.5,19.3,39.2,41.6,20907.0,31.8,3,0.630119722747322
21113060504,KY,Jessamine County,,,2,86.9,3484,1055.75757575758,2.59,17.1,30.0,49.5,88.4,9.0,0.0,0.0,0.0,0.0,2.6,2.6,15.6,35.2,49.2,23929.0,24.7,0,0
21113060600,KY,Jessamine County,37.984122156,-84.605276184,2,94.0,6820,159.718969555035,2.92,4.4,45.3,51.0,96.0,0.7,0.0,1.9,0.0,0.0,1.5,3.0,3.9,20.4,75.7,38709.0,4.2,5,0.733137829912024
21115960100,KY,Johnson County,,,10,87.5,3780,85.1351351351351,2.9,5.5,36.5,48.9,98.3,0.0,0.3,0.2,0.0,0.0,1.2,0.3,25.5,34.8,39.7,21740.0,31.6,0,0
21115960200,KY,Johnson County,,,10,89.6,2657,39.188790560472,2.72,12.3,39.3,47.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,41.7,31.2,20830.0,23.3,0,0
21115960300,KY,Johnson County,37.83036052,-82.88504434,8,87.7,2991,56.6477272727273,2.63,6.5,41.6,48.4,97.4,0.6,0.0,0.0,0.0,0.0,2.0,0.2,20.1,40.5,39.4,16664.0,18.2,1,0.334336342360415
21115960400,KY,Johnson County,37.8172491766667,-82.8026149133333,7,92.0,6461,226.701754385965,2.44,13.9,43.2,48.6,96.3,0.9,0.2,0.6,0.0,1.4,0.6,2.1,25.2,31.8,43.0,17267.0,29.5,3,0.46432440798638
21115960500,KY,Johnson County,,,10,91.3,2802,79.3767705382436,2.48,10.0,43.2,47.4,99.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,17.7,41.4,40.9,16600.0,25.7,0,0
21115960600,KY,Johnson County,,,8,90.6,4589,138.640483383686,2.5,9.4,42.7,52.3,96.8,0.4,0.0,2.7,0.0,0.0,0.0,0.3,17.3,35.0,47.7,20142.0,24.1,0,0
21117060300,KY,Kenton County,,,1,82.9,1559,7795.0,1.93,8.7,32.3,52.6,93.1,5.1,0.0,0.0,0.0,0.0,1.8,1.8,14.8,27.5,57.7,20438.0,25.5,0,0
21117060700,KY,Kenton County,,,1,92.5,1643,8215.0,2.15,2.8,36.0,54.3,75.6,11.2,0.4,3.0,0.0,4.5,5.3,6.1,12.2,23.4,64.6,26625.0,15.5,0,0
21117060900,KY,Kenton County,,,1,80.6,2444,12220.0,2.87,17.7,27.8,46.2,66.4,17.6,0.0,0.4,0.1,7.1,8.5,13.1,25.6,36.7,37.7,12364.0,53.4,0,0
21117061000,KY,Kenton County,,,1,92.1,2101,7003.33333333333,2.46,13.1,33.1,47.1,75.8,21.0,0.0,0.0,0.0,0.4,2.8,0.7,15.6,31.7,52.7,20246.0,29.3,0,0
21117061100,KY,Kenton County,,,1,92.7,1538,5126.66666666667,2.28,3.9,43.5,44.9,97.3,2.3,0.0,0.0,0.0,0.0,0.5,5.1,7.9,19.3,72.8,34286.0,9.9,0,0
21117061200,KY,Kenton County,,,1,86.7,2679,4465.0,2.72,11.9,35.8,49.3,91.4,1.6,0.0,0.0,0.0,0.2,6.8,2.7,16.8,39.8,43.3,23809.0,10.3,0,0
21117061300,KY,Kenton County,39.04107,-84.50674,1,88.3,2627,3752.85714285714,2.28,7.7,44.4,47.2,87.4,5.3,0.0,0.6,0.0,1.8,5.0,5.1,12.2,38.6,49.2,21731.0,14.8,1,0.380662352493338
21117061400,KY,Kenton County,,,1,83.7,3881,6468.33333333333,2.62,7.7,39.9,53.6,91.9,4.5,0.4,0.0,0.0,1.4,1.8,1.1,21.6,40.0,38.5,20613.0,25.4,0,0
21117061600,KY,Kenton County,,,1,82.3,1192,2980.0,1.94,13.8,35.1,60.7,77.4,15.6,0.0,0.0,0.0,3.6,3.4,3.4,11.5,33.1,55.5,24957.0,20.4,0,0
21117063603,KY,Kenton County,,,1,86.5,9096,1935.31914893617,3.15,3.1,33.4,48.4,89.1,1.4,0.0,1.6,0.0,5.4,2.5,9.2,13.4,33.3,53.3,30179.0,14.0,0,0
21117063604,KY,Kenton County,,,1,92.6,6075,1215.0,2.75,4.7,40.3,48.4,95.8,0.7,0.0,1.7,0.0,0.2,1.6,2.4,12.1,30.4,57.5,30168.0,9.7,0,0
21117063605,KY,Kenton County,,,1,97.7,11729,792.5,3.1,6.2,34.8,49.4,95.0,1.1,0.0,2.2,0.0,0.3,1.4,0.9,12.3,30.6,57.1,32591.0,6.1,0,0
21117063606,KY,Kenton County,,,1,95.7,4267,1094.10256410256,3.03,3.7,36.5,49.5,97.5,1.4,0.3,0.4,0.0,0.0,0.4,0.1,5.5,31.2,63.3,37200.0,2.6,0,0
