county,Latitude,Longitude,% Insured,Population,Avg. Household Size,Unemployment,Median Age,% Male,% White,% Black,% Native,% Asian,% Hawaiian/PI,% Other Race,% Multi-Race,% Hispanic/Latino,% Education < HS,% HS Grad or Higher,% Some College or Higher,Median Income,% Poverty,MH Provider Count, MH Providers per 1000 Pop.
31113,,,88.4,830,2.36,0.9,43.3,50.2,97.1,0.2,0.2,0,0,1.4,1,1.9,9.5,28.8,61.8,26389,11.8,0,0
31115,,,90.8,542,2.19,0.3,51,47.6,98,0,0.6,0,0,0,1.5,0,2.7,37.6,59.7,28438,10,0,0
31117,,,97.9,425,2.16,0,48,51.5,98.1,0,0,0,0,0,1.9,0.9,6.5,27.3,66.1,30132,18.4,0,0
31119,42.03562931,-97.42467643,89.6,35125,2.42,3.1,36.8,49.6,92,1.3,1.5,0.9,0,2.7,1.6,14.2,11.7,29.9,58.3,26012,14.9,28,0.797153025
31121,,,91.1,7793,2.29,5.3,43.8,49.5,96.1,0.9,0.1,0,0,0.6,2.3,4,7.5,34.7,57.7,25889,10,0,0
31123,,,87,4843,2.33,3.5,41.6,50.1,95.8,0.7,0.5,0.2,0,1.1,1.7,15.1,13.3,31.8,54.9,24763,12.3,0,0
31125,,,90.6,3607,2.2,3.2,45.8,49.4,99.6,0.1,0.2,0,0.1,0,0,2.4,9.3,37.4,53.3,23411,12.4,0,0
31127,,,94.1,7101,2.29,6.5,37.8,49.2,96.4,1.6,0.6,0.1,0,0.3,1,2.5,5.6,32.8,61.6,25423,10.8,0,0
31129,,,89.7,4352,2.09,2.9,49,49.4,97.7,0.1,0.2,0.6,0,0.3,1.1,2.7,6.7,43.6,49.7,24223,12.8,0,0
31131,40.68373832,-95.89162509,91.7,15890,2.42,3.8,41.8,49.1,96,0.1,0.5,0.3,0,0.7,2.3,7.2,8.9,37.8,53.3,29467,10.8,3,0.188797986
31133,,,83.8,2695,2.13,3,49.5,49.7,97.4,0,0.2,0,0,0,2.4,1.9,9.3,43.8,46.8,23074,20.2,0,0
31135,,,94.4,2911,2.31,1.9,43.9,50.4,99.1,0.2,0.1,0,0,0.3,0.4,3.7,10.9,31,58.2,29836,6.8,0,0
31137,,,93.8,9236,2.38,1.2,41.7,50.2,96.8,0.1,0.1,0.2,0,0.6,2.2,5.3,6.9,32.7,60.5,27232,8.3,0,0
31139,,,95.1,7179,2.39,4,41.7,50.3,97.9,0.2,0.3,0.2,0.1,0.2,1.1,1.6,5.2,35,59.8,29222,6.6,0,0
