tract,PC#1,PC#2,PC#3,PC#4,PC#5,PC#6,PC#7,PC#8,PC#9,PC#10,PC#11,PC#12,PC#13,PC#14,PC#15,PC#16,PC#17,PC#18,PC#19
44003021001,59.38,56.04,13.96,58.12,40.21,57.29,57.29,56.04,32.71,38.54,6.46,46.04,63.54,63.12,54.79,46.46,64.38,79.38,11.88
44003021002,37.29,30.63,70.21,74.38,47.29,65.62,67.29,21.46,36.04,56.46,88.12,90.62,69.38,44.79,16.46,48.96,10.62,87.71,85.62
44003021100,47.29,12.71,72.71,38.12,79.79,78.12,64.38,23.96,22.71,46.88,21.46,12.29,86.88,46.88,92.29,77.71,18.54,47.29,69.79
44003021200,52.29,47.71,55.21,56.46,27.71,53.12,31.46,43.54,31.88,86.04,22.29,81.88,74.38,73.54,66.46,60.21,32.29,54.38,66.46
44003021300,26.88,37.29,46.46,61.88,15.63,23.96,62.29,60.62,69.79,62.71,70.21,34.79,37.29,75.21,3.96,62.71,18.12,35.21,73.12
44003021401,41.04,38.96,31.88,48.54,47.71,19.79,83.96,79.79,46.04,42.29,11.04,68.12,74.79,76.88,50.21,31.04,43.96,15.63,70.62
44003021402,48.12,46.46,40.62,76.04,48.54,64.79,39.38,68.12,52.29,74.79,35.62,58.54,35.62,88.54,58.54,81.04,21.88,71.46,68.12
44003021501,35.62,55.62,63.12,80.21,51.46,26.88,23.96,16.87,79.79,37.71,27.29,54.79,21.46,68.12,67.29,43.54,41.88,51.04,33.12
44003021502,49.38,49.79,53.54,68.54,26.46,43.54,53.96,81.04,23.96,93.54,14.38,80.21,24.38,46.46,45.21,64.38,71.46,79.79,29.37
44003021600,4.37,61.46,32.29,83.96,56.46,28.54,57.71,17.71,54.38,40.62,63.12,19.38,8.13,52.29,8.96,23.12,44.79,86.46,54.79
44003021700,55.62,62.71,26.04,50.62,13.54,50.21,37.29,49.79,10.62,88.96,3.96,75.21,58.12,86.04,97.29,50.62,36.46,72.71,15.63
44003021800,38.96,61.88,56.04,68.96,50.62,13.13,41.04,42.71,73.12,36.04,9.38,70.21,61.88,71.04,53.96,27.71,58.54,44.38,53.54
44003021901,23.12,48.54,34.38,63.12,42.29,64.38,34.38,48.12,57.71,13.13,47.29,17.71,33.96,83.54,30.21,81.46,11.46,14.79,71.88
44003021902,43.54,50.21,44.38,60.62,30.63,63.54,46.46,32.29,25.63,46.04,50.21,48.96,52.71,43.12,85.21,59.38,33.12,16.46,41.88
44003021903,19.38,51.88,48.96,51.46,18.54,17.29,72.29,56.88,30.21,75.62,61.04,76.46,41.04,52.71,16.04,39.38,41.46,61.04,60.21
44003022000,20.21,53.96,53.96,58.96,20.21,54.79,48.54,40.62,31.46,33.96,63.54,77.71,80.62,49.38,76.46,59.79,15.63,44.79,42.71
44003022100,33.54,56.88,42.71,46.88,37.71,56.88,30.63,46.04,23.12,73.54,55.21,51.46,26.46,34.79,67.71,45.62,53.54,60.62,46.04
